time,timestamp,n_nodes,n_edges,density,avg_degree,clustering,max_centrality,centrality_std
0,2020-01-01,15,52,0.24761904761904763,6.933333333333334,0.2650793650793651,1.1428571428571428,0.26530263385112607
1,2020-01-31,15,52,0.24761904761904763,6.933333333333334,0.2650793650793651,1.1428571428571428,0.26530263385112607
2,2020-03-01,15,52,0.24761904761904763,6.933333333333334,0.2650793650793651,1.1428571428571428,0.26530263385112607
3,2020-03-31,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
4,2020-04-30,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
5,2020-05-30,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
6,2020-06-29,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
7,2020-07-29,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
8,2020-08-28,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
9,2020-09-27,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
10,2020-10-27,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
11,2020-11-26,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
12,2020-12-26,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
13,2021-01-25,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
14,2021-02-24,16,55,0.22916666666666666,6.875,0.2839285714285714,1.0666666666666667,0.2537222891273055
15,2021-03-26,15,51,0.24285714285714285,6.8,0.3082539682539682,1.0,0.2435564162389414
16,2021-04-25,15,51,0.24285714285714285,6.8,0.3082539682539682,1.0,0.2435564162389414
17,2021-05-25,15,44,0.20952380952380953,5.866666666666666,0.31412698412698414,1.0714285714285714,0.258023184459887
18,2021-06-24,16,47,0.19583333333333333,5.875,0.33655753968253965,1.0666666666666667,0.25913853009110355
19,2021-07-24,16,47,0.19583333333333333,5.875,0.33655753968253965,1.0666666666666667,0.25913853009110355
20,2021-08-23,16,47,0.19583333333333333,5.875,0.33655753968253965,1.0666666666666667,0.25913853009110355
