제목,내용,카테고리,접수일시,processed_content
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2024-09-28,기초연금 수급 자격 기준이 너무 서류 준비 과정이 너무
출퇴근 시간 세종시 버스 배차 간격이 너무 깁니다,출퇴근 시간 세종시 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2024-09-28,출퇴근 시간 세종시 버스 배차 간격이 너무 사고 위험이 높아지고
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2024-09-30,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2024-10-01,공공시설 안전 점검을 철저히 정기적인 점검이
출퇴근 시간 전북 전주시 버스 배차 간격이 너무 깁니다,출퇴근 시간 전북 전주시 버스 배차 간격이 너무 깁니다. 경제적 손실이 발생하고 있습니다.,교통,2024-10-01,출퇴근 시간 전북 전주시 버스 배차 간격이 너무 경제적 손실이 발생하고
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 서류 준비 과정이 너무 복잡합니다.,복지,2024-10-01,의료비 지원 대상자 선정 기준을 완화해 서류 준비 과정이 너무
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 사고 예방이 시급합니다.,안전,2024-10-01,재난 대응 시스템 개선이 사고 예방이
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 업무 효율성을 높여야 합니다.,행정,2024-10-01,민원 처리 속도가 너무 업무 효율성을 높여야
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2024-10-02,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 서류 준비 과정이 너무
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 사고 위험이 높아지고 있습니다.,교통,2024-10-02,주차 공간 부족 문제를 해결해 사고 위험이 높아지고
출퇴근 시간 서울 강북구 버스 배차 간격이 너무 깁니다,출퇴근 시간 서울 강북구 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2024-10-02,출퇴근 시간 서울 강북구 버스 배차 간격이 너무 사고 위험이 높아지고
울산 남구 지역 미세먼지 대책을 강화해 주세요,울산 남구 지역 미세먼지 대책을 강화해 주세요. 주민 건강이 위협받고 있습니다.,환경,2024-10-04,울산 남구 지역 미세먼지 대책을 강화해 주민 건강이 위협받고
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2024-10-05,노인 복지 서비스 확대가 서류 준비 과정이 너무
충북 청주시 지역에 CCTV 설치를 요청합니다,충북 청주시 지역에 CCTV 설치를 요청합니다. 정기적인 점검이 필요합니다.,안전,2024-10-06,충북 청주시 지역에 설치를 정기적인 점검이
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2024-10-06,대중교통 환승 시스템 개선이 사고 위험이 높아지고
경기 용인시 도로 포장 상태가 매우 불량합니다,경기 용인시 도로 포장 상태가 매우 불량합니다. 긴급한 대책 마련이 필요합니다.,교통,2024-10-06,경기 용인시 도로 포장 상태가 매우 긴급한 대책 마련이
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,2024-10-07,서류 발급 절차를 간소화해 업무 효율성을 높여야
서울 강북구 지역에 CCTV 설치를 요청합니다,서울 강북구 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,2024-10-08,서울 강북구 지역에 설치를 예방 대책을 마련해
대전 유성구 지역에 CCTV 설치를 요청합니다,대전 유성구 지역에 CCTV 설치를 요청합니다. 정기적인 점검이 필요합니다.,안전,2024-10-08,대전 유성구 지역에 설치를 정기적인 점검이
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2024-10-09,재활용 분리수거 시스템 개선이 체계적인 관리가
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 시민 중심 서비스가 필요합니다.,행정,2024-10-09,민원 처리 속도가 너무 시민 중심 서비스가
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2024-10-09,도시 녹지 공간을 확대해 시민 참여 방안을 마련해
충북 청주시 도로 포장 상태가 매우 불량합니다,충북 청주시 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,2024-10-09,충북 청주시 도로 포장 상태가 매우 장기적인 계획 수립을
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 신속한 조치를 요청합니다.,안전,2024-10-10,공공시설 안전 점검을 철저히 신속한 조치를
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 시민 중심 서비스가 필요합니다.,행정,2024-10-10,행정 정보 공개를 확대해 시민 중심 서비스가
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 지역별 격차가 심각합니다.,복지,2024-10-10,보육료 지원이 실제 필요한 가정에 제대로 전달되지 지역별 격차가
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 주민 불안감이 증가하고 있습니다.,안전,2024-10-10,공공시설 안전 점검을 철저히 주민 불안감이 증가하고
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 주민 건강이 위협받고 있습니다.,환경,2024-10-11,재활용 분리수거 시스템 개선이 주민 건강이 위협받고
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2024-10-12,재활용 분리수거 시스템 개선이 체계적인 관리가
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 접근성을 개선해 주세요.,행정,2024-10-12,온라인 행정 시스템이 접근성을 개선해
대전 유성구 지역에 CCTV 설치를 요청합니다,대전 유성구 지역에 CCTV 설치를 요청합니다. 주민 불안감이 증가하고 있습니다.,안전,2024-10-12,대전 유성구 지역에 설치를 주민 불안감이 증가하고
부산 해운대구 지역 신호등 체계 개선이 필요합니다,부산 해운대구 지역 신호등 체계 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2024-10-13,부산 해운대구 지역 신호등 체계 개선이 사고 위험이 높아지고
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 예산 확대가 시급합니다.,환경,2024-10-13,재활용 분리수거 시스템 개선이 예산 확대가
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 경제적 손실이 발생하고 있습니다.,교통,2024-10-13,주차 공간 부족 문제를 해결해 경제적 손실이 발생하고
대전 유성구 지역 미세먼지 대책을 강화해 주세요,대전 유성구 지역 미세먼지 대책을 강화해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2024-10-13,대전 유성구 지역 미세먼지 대책을 강화해 시민 참여 방안을 마련해
세종시 지역 신호등 체계 개선이 필요합니다,세종시 지역 신호등 체계 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2024-10-13,세종시 지역 신호등 체계 개선이 사고 위험이 높아지고
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 예산 확대가 시급합니다.,환경,2024-10-14,도시 녹지 공간을 확대해 예산 확대가
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,2024-10-15,공공시설 안전 점검을 철저히 예방 대책을 마련해
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2024-10-15,보육료 지원이 실제 필요한 가정에 제대로 전달되지 온라인 신청 시스템 개선이
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 시민 참여 방안을 마련해 주세요.,환경,2024-10-15,재활용 분리수거 시스템 개선이 시민 참여 방안을 마련해
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 시민들의 불편이 가중되고 있습니다.,교통,2024-10-16,주차 공간 부족 문제를 해결해 시민들의 불편이 가중되고
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 생활 환경이 악화되고 있습니다.,환경,2024-10-16,도시 녹지 공간을 확대해 생활 환경이 악화되고
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2024-10-16,기초연금 수급 자격 기준이 너무 서류 준비 과정이 너무
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 접근성을 개선해 주세요.,행정,2024-10-16,민원 처리 속도가 너무 접근성을 개선해
경기 성남시 지역 신호등 체계 개선이 필요합니다,경기 성남시 지역 신호등 체계 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2024-10-16,경기 성남시 지역 신호등 체계 개선이 사고 위험이 높아지고
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 사고 위험이 높아지고 있습니다.,교통,2024-10-17,주차 공간 부족 문제를 해결해 사고 위험이 높아지고
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 투명성을 강화해야 합니다.,행정,2024-10-18,공무원 응대 서비스 개선이 투명성을 강화해야
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 소득 기준을 현실화해야 합니다.,복지,2024-10-19,보육료 지원이 실제 필요한 가정에 제대로 전달되지 소득 기준을 현실화해야
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 생활 환경이 악화되고 있습니다.,환경,2024-10-19,재활용 분리수거 시스템 개선이 생활 환경이 악화되고
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2024-10-20,대중교통 환승 시스템 개선이 시민들의 불편이 가중되고
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2024-10-20,대중교통 환승 시스템 개선이 긴급한 대책 마련이
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 정기적인 점검이 필요합니다.,안전,2024-10-22,어린이 보호구역 안전시설을 강화해 정기적인 점검이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2024-10-23,도시 녹지 공간을 확대해 시민 참여 방안을 마련해
출퇴근 시간 경기 용인시 버스 배차 간격이 너무 깁니다,출퇴근 시간 경기 용인시 버스 배차 간격이 너무 깁니다. 장기적인 계획 수립을 요청합니다.,교통,2024-10-23,출퇴근 시간 경기 용인시 버스 배차 간격이 너무 장기적인 계획 수립을
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2024-10-23,공공시설 안전 점검을 철저히 정기적인 점검이
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 신속한 조치를 요청합니다.,안전,2024-10-24,공공시설 안전 점검을 철저히 신속한 조치를
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 담당 공무원의 안내가 부족합니다.,복지,2024-10-25,보육료 지원이 실제 필요한 가정에 제대로 전달되지 담당 공무원의 안내가
전남 여수시 지역에 CCTV 설치를 요청합니다,전남 여수시 지역에 CCTV 설치를 요청합니다. 정기적인 점검이 필요합니다.,안전,2024-10-25,전남 여수시 지역에 설치를 정기적인 점검이
세종시 지역 신호등 체계 개선이 필요합니다,세종시 지역 신호등 체계 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2024-10-25,세종시 지역 신호등 체계 개선이 장기적인 계획 수립을
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 소득 기준을 현실화해야 합니다.,복지,2024-10-26,의료비 지원 대상자 선정 기준을 완화해 소득 기준을 현실화해야
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 지역별 격차가 심각합니다.,복지,2024-10-26,보육료 지원이 실제 필요한 가정에 제대로 전달되지 지역별 격차가
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 업무 효율성을 높여야 합니다.,행정,2024-10-26,공무원 응대 서비스 개선이 업무 효율성을 높여야
