source_dept,target_dept,collaboration_count,project_type,timestamp
행정지원과,기획재정과,2,문화 행사 기획,2021-01
교통행정과,행정지원과,3,건축 인허가 간소화,2021-01
행정지원과,기획재정과,3,안전 관리 체계,2021-01
세무과,일자리경제과,2,스마트시티 구축,2021-01
환경관리과,건축과,3,안전 관리 체계,2021-01
문화체육과,일자리경제과,2,스마트시티 구축,2021-01
도시계획과,보건위생과,3,교통 정보 시스템,2021-01
건축과,일자리경제과,1,보건 데이터 연계,2021-01
교통행정과,기획재정과,1,스마트시티 구축,2021-01
행정지원과,환경관리과,3,문화 행사 기획,2021-01
교통행정과,환경관리과,1,일자리 창출,2021-01
문화체육과,도시계획과,2,문화 행사 기획,2021-01
기획재정과,보건위생과,2,문화 행사 기획,2021-01
기획재정과,건축과,3,도시 재생 사업,2021-01
안전관리과,교통행정과,1,환경 모니터링,2021-01
복지정책과,안전관리과,2,안전 관리 체계,2021-01
건축과,안전관리과,1,보건 데이터 연계,2021-01
세무과,교통행정과,3,환경 모니터링,2021-01
안전관리과,도시계획과,2,환경 모니터링,2021-01
일자리경제과,건축과,2,스마트시티 구축,2021-01
일자리경제과,기획재정과,3,문화 행사 기획,2021-01
도시계획과,안전관리과,2,도시 재생 사업,2021-02
복지정책과,보건위생과,3,안전 관리 체계,2021-02
문화체육과,복지정책과,3,안전 관리 체계,2021-02
행정지원과,환경관리과,3,문화 행사 기획,2021-02
환경관리과,기획재정과,2,안전 관리 체계,2021-02
세무과,문화체육과,1,세금 징수 자동화,2021-02
기획재정과,환경관리과,1,복지 통합 플랫폼,2021-02
복지정책과,보건위생과,3,건축 인허가 간소화,2021-02
도시계획과,보건위생과,1,건축 인허가 간소화,2021-02
교통행정과,환경관리과,3,복지 통합 플랫폼,2021-02
기획재정과,행정지원과,1,스마트시티 구축,2021-02
복지정책과,세무과,2,일자리 창출,2021-02
환경관리과,문화체육과,3,안전 관리 체계,2021-02
기획재정과,건축과,1,교통 정보 시스템,2021-02
세무과,안전관리과,2,문화 행사 기획,2021-02
환경관리과,일자리경제과,3,도시 재생 사업,2021-02
건축과,문화체육과,1,복지 통합 플랫폼,2021-02
환경관리과,교통행정과,2,교통 정보 시스템,2021-02
교통행정과,세무과,3,도시 재생 사업,2021-02
문화체육과,안전관리과,1,일자리 창출,2021-02
행정지원과,보건위생과,3,스마트시티 구축,2021-02
기획재정과,보건위생과,3,안전 관리 체계,2021-02
건축과,기획재정과,2,도시 재생 사업,2021-02
안전관리과,교통행정과,3,세금 징수 자동화,2021-02
환경관리과,도시계획과,1,도시 재생 사업,2021-02
행정지원과,안전관리과,1,세금 징수 자동화,2021-02
문화체육과,복지정책과,1,문화 행사 기획,2021-02
기획재정과,보건위생과,3,일자리 창출,2021-02
문화체육과,일자리경제과,2,교통 정보 시스템,2021-02
복지정책과,세무과,1,환경 모니터링,2021-02
기획재정과,보건위생과,2,세금 징수 자동화,2021-02
건축과,환경관리과,1,도시 재생 사업,2021-02
도시계획과,행정지원과,3,교통 정보 시스템,2021-03
행정지원과,보건위생과,1,세금 징수 자동화,2021-03
행정지원과,안전관리과,3,문화 행사 기획,2021-03
보건위생과,세무과,3,보건 데이터 연계,2021-03
도시계획과,교통행정과,3,교통 정보 시스템,2021-03
기획재정과,복지정책과,2,복지 통합 플랫폼,2021-03
문화체육과,안전관리과,3,스마트시티 구축,2021-03
일자리경제과,보건위생과,3,스마트시티 구축,2021-03
교통행정과,환경관리과,2,보건 데이터 연계,2021-03
도시계획과,문화체육과,3,도시 재생 사업,2021-03
행정지원과,환경관리과,2,스마트시티 구축,2021-03
건축과,행정지원과,2,스마트시티 구축,2021-03
기획재정과,복지정책과,3,도시 재생 사업,2021-03
교통행정과,세무과,1,환경 모니터링,2021-03
환경관리과,행정지원과,3,보건 데이터 연계,2021-03
기획재정과,안전관리과,3,건축 인허가 간소화,2021-03
세무과,문화체육과,3,복지 통합 플랫폼,2021-03
보건위생과,건축과,2,문화 행사 기획,2021-03
교통행정과,건축과,3,환경 모니터링,2021-03
행정지원과,세무과,3,복지 통합 플랫폼,2021-03
행정지원과,기획재정과,2,세금 징수 자동화,2021-03
도시계획과,안전관리과,3,건축 인허가 간소화,2021-03
보건위생과,문화체육과,3,교통 정보 시스템,2021-03
행정지원과,문화체육과,2,환경 모니터링,2021-03
도시계획과,문화체육과,3,교통 정보 시스템,2021-03
도시계획과,문화체육과,2,교통 정보 시스템,2021-03
세무과,기획재정과,2,세금 징수 자동화,2021-03
건축과,세무과,2,환경 모니터링,2021-03
문화체육과,행정지원과,1,환경 모니터링,2021-04
건축과,환경관리과,3,세금 징수 자동화,2021-04
행정지원과,도시계획과,3,환경 모니터링,2021-04
세무과,행정지원과,1,환경 모니터링,2021-04
안전관리과,복지정책과,2,건축 인허가 간소화,2021-04
세무과,도시계획과,3,안전 관리 체계,2021-04
행정지원과,안전관리과,3,스마트시티 구축,2021-04
보건위생과,교통행정과,2,교통 정보 시스템,2021-04
기획재정과,도시계획과,1,복지 통합 플랫폼,2021-04
기획재정과,일자리경제과,1,도시 재생 사업,2021-04
세무과,교통행정과,3,교통 정보 시스템,2021-04
도시계획과,건축과,2,일자리 창출,2021-04
문화체육과,도시계획과,3,안전 관리 체계,2021-04
행정지원과,일자리경제과,3,도시 재생 사업,2021-04
보건위생과,도시계획과,2,세금 징수 자동화,2021-04
건축과,행정지원과,1,안전 관리 체계,2021-04
보건위생과,도시계획과,1,문화 행사 기획,2021-04
보건위생과,문화체육과,1,세금 징수 자동화,2021-04
세무과,복지정책과,3,보건 데이터 연계,2021-04
일자리경제과,행정지원과,3,환경 모니터링,2021-04
보건위생과,도시계획과,3,보건 데이터 연계,2021-04
일자리경제과,복지정책과,1,스마트시티 구축,2021-04
교통행정과,일자리경제과,2,환경 모니터링,2021-04
보건위생과,도시계획과,3,환경 모니터링,2021-04
기획재정과,건축과,1,세금 징수 자동화,2021-05
기획재정과,보건위생과,1,환경 모니터링,2021-05
복지정책과,세무과,1,문화 행사 기획,2021-05
세무과,행정지원과,1,도시 재생 사업,2021-05
문화체육과,도시계획과,3,환경 모니터링,2021-05
복지정책과,건축과,2,환경 모니터링,2021-05
세무과,도시계획과,2,환경 모니터링,2021-05
기획재정과,교통행정과,2,교통 정보 시스템,2021-05
행정지원과,일자리경제과,1,스마트시티 구축,2021-05
문화체육과,일자리경제과,2,보건 데이터 연계,2021-05
