date,district,service_type,usage_count,processing_time,satisfaction,policy_intervention
2021-01-01,강북구,민원처리,82,44,3.39,0
2021-01-01,강북구,복지신청,75,58,3.13,0
2021-01-01,강북구,교통정보,114,5,3.06,0
2021-01-01,강북구,환경신고,41,28,3.06,0
2021-01-01,강북구,세금납부,71,16,2.68,0
2021-01-01,강북구,시설예약,49,13,3.29,0
2021-01-01,강북구,주차정보,73,2,3.64,0
2021-01-01,강북구,쓰레기수거,44,10,2.77,0
2021-01-01,강북구,문화행사,35,12,2.85,0
2021-01-01,강북구,건강검진,32,46,3.11,0
2021-01-01,강남구,민원처리,100,53,3.2,0
2021-01-01,강남구,복지신청,74,64,2.83,0
2021-01-01,강남구,교통정보,136,4,2.8,0
2021-01-01,강남구,환경신고,56,32,3.25,0
2021-01-01,강남구,세금납부,97,19,2.76,0
2021-01-01,강남구,시설예약,68,14,3.52,0
2021-01-01,강남구,주차정보,127,2,3.3,0
2021-01-01,강남구,쓰레기수거,62,9,3.38,0
2021-01-01,강남구,문화행사,63,13,2.95,0
2021-01-01,강남구,건강검진,41,51,3.49,0
2021-01-01,서초구,민원처리,91,44,2.87,0
2021-01-01,서초구,복지신청,64,64,3.61,0
2021-01-01,서초구,교통정보,117,5,3.31,0
2021-01-01,서초구,환경신고,44,31,3.66,0
2021-01-01,서초구,세금납부,88,23,2.41,0
2021-01-01,서초구,시설예약,77,15,3.11,0
2021-01-01,서초구,주차정보,110,2,3.13,0
2021-01-01,서초구,쓰레기수거,62,11,3.04,0
2021-01-01,서초구,문화행사,43,11,3.47,0
2021-01-01,서초구,건강검진,41,47,3.35,0
2021-01-01,송파구,민원처리,106,49,2.99,0
2021-01-01,송파구,복지신청,79,57,2.76,0
2021-01-01,송파구,교통정보,130,5,3.2,0
2021-01-01,송파구,환경신고,50,25,3.07,0
2021-01-01,송파구,세금납부,89,18,3.15,0
2021-01-01,송파구,시설예약,77,17,3.25,0
2021-01-01,송파구,주차정보,119,2,2.62,0
2021-01-01,송파구,쓰레기수거,62,10,3.94,0
2021-01-01,송파구,문화행사,50,12,3.19,0
2021-01-01,송파구,건강검진,34,55,3.43,0
2021-01-01,마포구,민원처리,98,40,3.62,0
2021-01-01,마포구,복지신청,55,63,3.86,0
2021-01-01,마포구,교통정보,89,4,3.23,0
2021-01-01,마포구,환경신고,40,25,3.22,0
2021-01-01,마포구,세금납부,66,20,2.92,0
2021-01-01,마포구,시설예약,75,13,3.1,0
2021-01-01,마포구,주차정보,108,2,3.27,0
2021-01-01,마포구,쓰레기수거,63,8,3.26,0
2021-01-01,마포구,문화행사,45,12,2.83,0
2021-01-01,마포구,건강검진,28,52,3.29,0
2021-01-02,강북구,민원처리,47,46,3.0,0
2021-01-02,강북구,복지신청,38,61,2.99,0
2021-01-02,강북구,교통정보,70,5,2.84,0
2021-01-02,강북구,환경신고,25,27,3.44,0
2021-01-02,강북구,세금납부,48,18,3.49,0
2021-01-02,강북구,시설예약,34,16,3.77,0
2021-01-02,강북구,주차정보,48,2,2.93,0
2021-01-02,강북구,쓰레기수거,24,9,3.3,0
2021-01-02,강북구,문화행사,24,12,3.2,0
2021-01-02,강북구,건강검진,22,48,4.02,0
2021-01-02,강남구,민원처리,72,41,2.88,0
2021-01-02,강남구,복지신청,56,58,3.41,0
2021-01-02,강남구,교통정보,84,4,2.95,0
2021-01-02,강남구,환경신고,25,28,3.46,0
2021-01-02,강남구,세금납부,61,17,3.25,0
2021-01-02,강남구,시설예약,48,13,3.25,0
2021-01-02,강남구,주차정보,73,2,3.31,0
2021-01-02,강남구,쓰레기수거,42,11,3.52,0
2021-01-02,강남구,문화행사,26,10,3.35,0
2021-01-02,강남구,건강검진,28,52,4.36,0
2021-01-02,서초구,민원처리,64,50,3.49,0
2021-01-02,서초구,복지신청,52,58,3.43,0
2021-01-02,서초구,교통정보,63,4,3.05,0
2021-01-02,서초구,환경신고,30,36,2.64,0
2021-01-02,서초구,세금납부,58,16,3.06,0
2021-01-02,서초구,시설예약,48,15,2.88,0
2021-01-02,서초구,주차정보,58,3,2.98,0
2021-01-02,서초구,쓰레기수거,36,10,3.0,0
2021-01-02,서초구,문화행사,39,12,2.59,0
2021-01-02,서초구,건강검진,24,46,3.46,0
2021-01-02,송파구,민원처리,55,44,3.35,0
2021-01-02,송파구,복지신청,56,52,3.1,0
2021-01-02,송파구,교통정보,69,4,3.73,0
2021-01-02,송파구,환경신고,33,26,3.48,0
2021-01-02,송파구,세금납부,74,22,2.74,0
2021-01-02,송파구,시설예약,40,16,2.99,0
2021-01-02,송파구,주차정보,73,3,2.92,0
2021-01-02,송파구,쓰레기수거,37,6,2.89,0
2021-01-02,송파구,문화행사,30,10,3.69,0
2021-01-02,송파구,건강검진,19,47,3.24,0
2021-01-02,마포구,민원처리,64,38,3.55,0
2021-01-02,마포구,복지신청,42,54,3.34,0
2021-01-02,마포구,교통정보,65,4,3.22,0
2021-01-02,마포구,환경신고,24,30,3.4,0
2021-01-02,마포구,세금납부,58,17,3.84,0
2021-01-02,마포구,시설예약,26,14,3.38,0
2021-01-02,마포구,주차정보,60,2,3.14,0
2021-01-02,마포구,쓰레기수거,29,9,3.45,0
2021-01-02,마포구,문화행사,27,11,3.47,0
2021-01-02,마포구,건강검진,22,54,3.39,0
2021-01-03,강북구,민원처리,40,42,3.42,0
2021-01-03,강북구,복지신청,40,59,3.24,0
2021-01-03,강북구,교통정보,66,4,3.36,0
2021-01-03,강북구,환경신고,22,29,3.53,0
2021-01-03,강북구,세금납부,46,21,3.59,0
2021-01-03,강북구,시설예약,32,16,3.11,0
2021-01-03,강북구,주차정보,53,2,3.23,0
2021-01-03,강북구,쓰레기수거,30,9,3.83,0
2021-01-03,강북구,문화행사,19,10,3.55,0
2021-01-03,강북구,건강검진,20,53,3.39,0
2021-01-03,강남구,민원처리,65,40,3.22,0
2021-01-03,강남구,복지신청,47,65,3.16,0
2021-01-03,강남구,교통정보,69,4,3.32,0
2021-01-03,강남구,환경신고,30,27,3.27,0
2021-01-03,강남구,세금납부,61,18,3.06,0
2021-01-03,강남구,시설예약,47,12,2.78,0
2021-01-03,강남구,주차정보,64,2,3.29,0
2021-01-03,강남구,쓰레기수거,48,10,3.15,0
2021-01-03,강남구,문화행사,32,10,3.19,0
2021-01-03,강남구,건강검진,25,51,2.95,0
2021-01-03,서초구,민원처리,64,51,3.17,0
2021-01-03,서초구,복지신청,50,64,3.08,0
2021-01-03,서초구,교통정보,73,5,3.23,0
2021-01-03,서초구,환경신고,26,30,3.35,0
2021-01-03,서초구,세금납부,65,21,3.85,0
2021-01-03,서초구,시설예약,36,16,3.26,0
2021-01-03,서초구,주차정보,86,2,2.95,0
2021-01-03,서초구,쓰레기수거,32,7,3.04,0
2021-01-03,서초구,문화행사,26,12,3.3,0
2021-01-03,서초구,건강검진,30,54,3.03,0
2021-01-03,송파구,민원처리,54,47,2.8,0
2021-01-03,송파구,복지신청,63,67,3.06,0
2021-01-03,송파구,교통정보,55,5,3.17,0
2021-01-03,송파구,환경신고,37,25,3.02,0
2021-01-03,송파구,세금납부,56,20,3.06,0
2021-01-03,송파구,시설예약,47,13,3.16,0
2021-01-03,송파구,주차정보,70,3,3.41,0
2021-01-03,송파구,쓰레기수거,31,8,3.58,0
2021-01-03,송파구,문화행사,32,11,3.67,0
2021-01-03,송파구,건강검진,25,55,3.22,0
2021-01-03,마포구,민원처리,69,52,3.13,0
2021-01-03,마포구,복지신청,48,63,3.61,0
2021-01-03,마포구,교통정보,54,5,3.52,0
2021-01-03,마포구,환경신고,19,26,2.59,0
2021-01-03,마포구,세금납부,45,21,3.65,0
2021-01-03,마포구,시설예약,37,17,2.79,0
2021-01-03,마포구,주차정보,43,2,3.32,0
